date,smart_gas_meters_in_smart_mode,smart_gas_meters_in_traditional_mode,non_smart_gas_meters,smart_electricity_meters_in_smart_mode,smart_electricity_meters_in_traditional_mode,non_smart_electricity_meters,all_smart_meters_in_smart_mode,all_smart_meters_in_traditional_mode,all_non_smart_meters,total_meters
03/07/2012,124,0,21387053,132,0,26163247,256,0,47550300,47550556
02/10/2012,1461,0,21550984,1739,0,26174965,3200,0,47725949,47729149
01/01/2013,11991,0,21416951,12049,0,25923120,24040,0,47340071,47364111
02/04/2013,39337,0,21224171,50038,0,25751659,89375,0,46975830,47065205
02/07/2013,72113,0,21275065,104704,0,25757248,176817,0,47032313,47209130
01/10/2013,101728,0,21513727,163427,0,25994868,265155,0,47508595,47773750
31/12/2013,132972,0,21294944,211730,0,25667602,344702,0,46962546,47307248
01/04/2014,156190,0,21085263,246447,0,25485350,402637,0,46570613,46973250
01/07/2014,215069,0,20786028,328789,0,25110093,543858,0,45896121,46439979
30/09/2014,270589,0,20564248,400645,0,24890373,671234,0,45454621,46125855
30/12/2014,367857,0,21412608,575602,0,25741447,943459,0,47154055,48097514
31/03/2015,473819,0,21215177,719368,0,25492318,1193187,0,46707495,47900682
30/06/2015,607412,0,21037144,908610,0,25230570,1516022,0,46267714,47783736
29/09/2015,763341,0,20726526,1118564,0,24923979,1881905,0,45650505,47532410
29/12/2015,1164957,0,20462581,1583193,0,24581589,2748150,0,45044170,47792320
29/03/2016,1379036,0,20462897,1923566,0,24472243,3302602,0,44935140,48237742
28/06/2016,1708885,0,20049140,2339537,0,23980487,4048422,0,44029627,48078049
27/09/2016,2069121,0,19847570,2794169,0,23591156,4863290,0,43438726,48302016
27/12/2016,2459603,0,19222403,3303814,0,22807443,5763417,0,42029846,47793263
28/03/2017,2863132,0,18500128,3799349,0,21985359,6662481,0,40485487,47147968
27/06/2017,3284119,0,17851025,4306175,0,21197581,7590294,0,39048606,46638900
26/09/2017,3753303,0,17529114,5009188,0,20676394,8762491,0,38205508,46967999
26/12/2017,4189869,0,17234249,5599628,0,20188355,9789497,0,37422604,47212101
27/03/2018,4578464,0,16642965,6137997,0,19434593,10716461,0,36077558,46794019
26/06/2018,4910018,0,16082377,6547243,0,18771766,11457261,0,34854143,46311404
25/09/2018,5266181,687942,15445560,7027058,913408,17922870,12293239,1601350,33368430,47263019
25/12/2018,5515114,822164,14953399,7325328,1150502,17265694,12840442,1972666,32219093,47032201
26/03/2019,5742799,1004675,14496277,7654779,1370965,16667334,13397578,2375640,31163611,46936829
25/06/2019,5995365,1194248,14015676,8017974,1653253,16002566,14013339,2847501,30018242,46879082
24/09/2019,6294285,1495786,14023880,8431865,1989202,16073174,14726150,3484988,30097054,48308192
24/12/2019,6585917,1667483,13867910,8932589,2028510,15593200,15518506,3695993,29461110,48675609
24/03/2020,6623632,1622086,13691730,8953977,2009973,15536534,15577609,3632059,29228264,48437932
23/06/2020,6885507,1674516,13411355,9367496,2022874,15132341,16253003,3697390,28543696,48494089
22/09/2020,7227534,1847951,13222177,9884841,2118166,14852091,17112375,3966117,28074268,49152760
22/12/2020,7492053,1807674,12694537,10318212,2040020,14097011,17810265,3847694,26791548,48449507
23/03/2021,7765924,1875256,12479909,10838574,2126942,13698565,18604498,4002198,26178474,48785170
22/06/2021,8129806,2010876,12081010,11362116,2184441,13289775,19491922,4195317,25370785,49058024
21/09/2021,9164751,1968329,12526982,12688315,2119559,13766041,21853066,4087888,26293023,52233977
21/12/2021,9716697,1841739,12176299,13689569,1655389,13406319,23406266,3497128,25582618,52486012
22/03/2022,9883692,1983479,11874596,13973050,1730072,13029841,23856742,3713551,24904437,52474730
21/06/2022,10274035,1953759,11579251,14445339,1736419,12587058,24719374,3690178,24166309,52575861
